1,FEC ID,STATE,STATE ABBREVIATION,LAST NAME;  FIRST,TOTAL VOTES,GENERAL RESULTS,TOTAL VOTES #,GENERAL %
2,P80002801,Alabama,AL,McCain; John,,1266546,,0.6
3,P80003338,Alabama,AL,Obama; Barack,,813479,,0.39
4,P20000527,Alabama,AL,Nader; Ralph,,6788,,0
5,P80005580,Alabama,AL,Barr; Bob,,4991,,0
6,P80005499,Alabama,AL,Baldwin; Chuck,,4310,,0
7,n/a,Alabama,AL,Scattered ,,3705,,0
8,n/a,Alabama,AL,,Total State Votes: ,2099819,2099819,
9,P80002801,Alaska,AK,McCain; John,,193841,,0.59
10,P80003338,Alaska,AK,Obama; Barack,,123594,,0.38
11,P20000527,Alaska,AK,Nader; Ralph,,3783,,0.01
12,n/a,Alaska,AK,Scattered ,,1730,,0.01
13,P80005499,Alaska,AK,Baldwin; Chuck,,1660,,0.01
14,P80005580,Alaska,AK,Barr; Bob,,1589,,0
15,n/a,Alaska,AK,,Total State Votes: ,326197,326197,
16,P80002801,Arizona,AZ,McCain; John,,1230111,,0.54
17,P80003338,Arizona,AZ,Obama; Barack,,1034707,,0.45
18,P80005580,Arizona,AZ,Barr; Bob,,12555,,0.01
19,P20000527,Arizona,AZ,Nader; Ralph,,11301,,0
20,P80004930,Arizona,AZ,McKinney; Cynthia,,3406,,0
21,P80005499,Arizona,AZ,Baldwin; Chuck,,1371,,0
22,n/a,Arizona,AZ,Jay; Charles,,16,,0
23,P80005119,Arizona,AZ,Allen; Jonathan,,8,,0
24,n/a,Arizona,AZ,,Total State Votes: ,2293475,2293475,
25,P80002801,Arkansas,AR,McCain; John,,638017,,0.59
26,P80003338,Arkansas,AR,Obama; Barack,,422310,,0.39
27,P20000527,Arkansas,AR,Nader; Ralph,,12882,,0.01
28,P80005580,Arkansas,AR,Barr; Bob,,4776,,0
29,P80005499,Arkansas,AR,Baldwin; Chuck,,4023,,0
30,P80004930,Arkansas,AR,McKinney; Cynthia,,3470,,0
31,P80005572,Arkansas,AR,La Riva; Gloria,,1139,,0
32,n/a,Arkansas,AR,,Total State Votes: ,1086617,1086617,
33,P80003338,California,CA,Obama; Barack,,8274473,,0.61
34,P80002801,California,CA,McCain; John,,5011781,,0.37
35,P20000527,California,CA,Nader; Ralph,,108381,,0.01
36,P80005580,California,CA,Barr; Bob,,67582,,0
37,P60003076,California,CA,Keyes; Alan,,40673,,0
38,P80004930,California,CA,McKinney; Cynthia,,38774,,0
39,P80000748,California,CA,Paul; Ron,,17006,,0
40,P80005499,California,CA,Baldwin; Chuck,,3145,,0
41,P60004454,California,CA,Harris; James,,49,,0
42,n/a,California,CA,Moore; Frank,,36,,0
43,n/a,California,CA,,Total State Votes: ,13561900,13561900,
44,P80003338,Colorado,CO,Obama; Barack,,1288633,,0.54
45,P80002801,Colorado,CO,McCain; John,,1073629,,0.45
46,P20000527,Colorado,CO,Nader; Ralph,,13352,,0.01
47,P80005580,Colorado,CO,Barr; Bob,,10898,,0
48,P80005499,Colorado,CO,Baldwin; Chuck,,6233,,0
49,P60003076,Colorado,CO,Keyes; Alan,,3051,,0
50,P80004930,Colorado,CO,McKinney; Cynthia,,2822,,0
51,P80003460,Colorado,CO,McEnulty; Frank Edward,,829,,0
52,n/a,Colorado,CO,Jay; Charles,,598,,0
53,P80005119,Colorado,CO,Allen; Jonathan E.,,348,,0
54,P80005655,Colorado,CO,Stevens; Thomas Robert,,336,,0
55,P80005275,Colorado,CO,Moore; Brian,,226,,0
