1,FEC ID,STATE,STATE ABBREVIATION,LAST NAME;  FIRST,TOTAL VOTES,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
2,P80003353,Alabama,AL,Romney; Mitt,,1255925,,0.61,W
3,P80003338,Alabama,AL,Obama; Barack,,795696,,0.38,
4,P20002671,Alabama,AL,Johnson; Gary,,12328,,0.01,
5,n/a,Alabama,AL,Scattered,,4011,,0,
6,P20003984,Alabama,AL,Stein; Jill,,3397,,0,
7,P20004685,Alabama,AL,Goode; Virgil H.; Jr.,,2981,,0,
8,n/a,Alabama,AL,,Total State Votes:,2074338,2074338,,
9,P80003353,Alaska,AK,Romney; Mitt,,164676,,0.55,W
10,P80003338,Alaska,AK,Obama; Barack,,122640,,0.41,
11,P20002671,Alaska,AK,Johnson; Gary,,7392,,0.02,
12,P20003984,Alaska,AK,Stein; Jill,,2917,,0.01,
13,n/a,Alaska,AK,Scattered,,2870,,0.01,
14,n/a,Alaska,AK,,Total State Votes:,300495,300495,,
15,P80003353,Arizona,AZ,Romney; Mitt,,1233654,,0.54,W
16,P80003338,Arizona,AZ,Obama; Barack,,1025232,,0.45,
17,P20002671,Arizona,AZ,Johnson; Gary,,32100,,0.01,
18,P20003984,Arizona,AZ,Stein; Jill,,7816,,0,
19,P20004685,Arizona,AZ,Goode; Virgil,,289,,0,
20,P20004263,Arizona,AZ,"Anderson; Ross C. ""Rocky""",,119,,0,
21,P20003208,Arizona,AZ,Reed; Jill,,17,,0,
22,P20005245,Arizona,AZ,Christensen; Will,,14,,0,
23,P20002218,Arizona,AZ,Knill; Dennis,,7,,0,
24,P20002630,Arizona,AZ,"Tittle; Sheila ""Samm""",,6,,0,
25,n/a,Arizona,AZ,,Total State Votes:,2299254,2299254,,
26,P80003353,Arkansas,AR,Romney; Mitt,,647744,,0.61,W
27,P80003338,Arkansas,AR,Obama; Barack,,394409,,0.37,
28,P20002671,Arkansas,AR,Johnson; Gary,,16276,,0.02,
29,P20003984,Arkansas,AR,Stein; Jill,,9305,,0.01,
30,P20004636,Arkansas,AR,Lindsay; Peta,,1734,,0,
31,n/a,Arkansas,AR,,Total State Votes:,1069468,1069468,,
32,P80003338,California,CA,Obama; Barack,,7854285,,0.6,W
33,P80003353,California,CA,Romney; Mitt,,4839958,,0.37,
34,P20002671,California,CA,Johnson; Gary,,143221,,0.01,
35,P20003984,California,CA,Stein; Jill,,85638,,0.01,
36,P20002804,California,CA,Barr; Roseanne,,53824,,0,
37,P20005260,California,CA,Hoefling; Thomas,,38372,,0,
38,P80000748,California,CA,Paul; Ron,,21461,,0,
39,P20004263,California,CA,"Anderson; Ross C. ""Rocky""",,992,,0,
40,P20004685,California,CA,Goode; Virgil,,503,,0,
41,P20003968,California,CA,Alexander; Stewart,,82,,0,
42,P20004677,California,CA,White; Jerry,,79,,0,
43,P60004454,California,CA,Harris; James,,72,,0,
44,P20004651,California,CA,Durham; Stephen,,54,,0,
45,P20002630,California,CA,"Tittle; Sheila ""Samm""",,6,,0,
46,n/a,California,CA,,Total State Votes:,13038547,13038547,,
47,P80003338,Colorado,CO,Obama; Barack,,1323102,,0.51,W
48,P80003353,Colorado,CO,Romney; Mitt,,1185243,,0.46,
49,P20002671,Colorado,CO,Johnson; Gary,,35545,,0.01,
50,P20003984,Colorado,CO,Stein; Jill,,7508,,0,
51,P20004685,Colorado,CO,Goode; Virgil H.; Jr.,,6234,,0,
52,P20002804,Colorado,CO,Barr; Roseanne,,5059,,0,
53,P20003208,Colorado,CO,Reed; Jill,,2589,,0,
54,P20004263,Colorado,CO,"Anderson; Ross C. ""Rocky""",,1260,,0,
55,P20002630,Colorado,CO,"Tittle; Sheila ""Samm""",,792,,0,
