1,FEC ID,STATE,STATE ABBREVIATION,LAST NAME;  FIRST,TOTAL VOTES,GENERAL RESULTS,GENERAL %,TOTAL VOTES #,COMBINED GE PARTY TOTALS (NY),COMBINED % (NY),WINNER INDICATOR,ELECTORAL VOTES,FOOTNOTES
2,,,,,,,,,,,,,
3,P80001571,Alabama,AL,Trump; Donald J.,,1441170,0.62,,,,W,9,
4,P80000722,Alabama,AL,Biden; Joseph R.,,849624,0.37,,,,,,
5,P00013524,Alabama,AL,Jorgensen; Jo,,25176,0.01,,,,,,
6,n/a,Alabama,AL,Scattered,,7312,0,,,,,,
7,n/a,Alabama,AL,,Total State Votes:,,,2323282,,,,,
8,n/a,,,,,,,,,,,,
9,P80001571,Alaska,AK,Trump; Donald J.,,189951,0.53,,,,W,3,
10,P80000722,Alaska,AK,Biden; Joseph R.; Jr.,,153778,0.43,,,,,,
11,P00013524,Alaska,AK,Jorgensen; Jo,,8897,0.02,,,,,,
12,P00003418,Alaska,AK,"Janos; James G. ""Jesse Ventura""",,2673,0.01,,,,,,
13,n/a,Alaska,AK,Scattered,,1961,0.01,,,,,,
14,P00014209,Alaska,AK,Blankenship; Don,,1127,0,,,,,,
15,P00016550,Alaska,AK,Pierce; Brock,,825,0,,,,,,
16,P60016342,Alaska,AK,"De La Fuente; Roque ""Rocky""",,318,0,,,,,,
17,n/a,Alaska,AK,,Total State Votes:,,,359530,,,,,
18,n/a,,,,,,,,,,,,
19,P80000722,Arizona,AZ,Biden; Joseph,,1672143,0.49,,,,W,11,
20,P80001571,Arizona,AZ,Trump; Donald J.,,1661686,0.49,,,,,,
21,P00013524,Arizona,AZ,Jorgensen; Jo,,51465,0.02,,,,,,
22,P00012211,Arizona,AZ,Hawkins; Howie,,1557,0,,,,,,
23,P00015537,Arizona,AZ,Simmons; Jade,,236,0,,,,,,
24,P80005572,Arizona,AZ,La Riva; Gloria,,190,0,,,,,,
25,n/a,Arizona,AZ,Cummings; Daniel Clyde,,36,0,,,,,,
26,P00017202,Arizona,AZ,Boddie; President R.,,13,0,,,,,,
27,n/a,Arizona,AZ,,Total State Votes:,,,3387326,,,,,
28,n/a,,,,,,,,,,,,
29,P80001571,Arkansas,AR,Trump; Donald J.,,760647,0.62,,,,W,6,
30,P80000722,Arkansas,AR,Biden; Joseph R.,,423932,0.35,,,,,,
31,P00013524,Arkansas,AR,Jorgensen; Jo,,13133,0.01,,,,,,
32,P00016741,Arkansas,AR,West; Kanye,,4099,0,,,,,,
